12a564,"[2/3, 1/3, 4/11]"
12a565,"[2/3, 3/5, 4/7]"
12a566,"[2/3, 3/5, 4/5]"
12a568,"[2/3, 2/5, 3/7]"
12a569,"[2/3, 2/3, 5/9]"
12a570,"[2/3, 2/3, 7/11]"
12a574,"[2/3, 2/3, 5/6]"
12a575,"[2/3, 2/3, 7/10]"
12a576,"[2/3, 1/3, 1/6]"
12a577,"[2/3, 1/3, 3/10]"
12a578,"[2/3, 1/3, 7/10]"
12a591,"[1/2, 1/3, 9/11]"
12a594,"[2/3, 1/3, 5/6]"
12a619,"[2/3, 2/5, 1/5]"
12a636,"[1/3, 1/3, 3/11]"
12a641,"[1/3, 1/4, 2/7]"
12a642,"[1/3, 3/4, 2/7]"
12a648,"[2/3, 2/3, 3/10]"
12a669,"[1/2, 1/3, 2/11]"
12a679,"[2/3, 2/3, 1/6]"
12a681,"[1/2, 1/3, 15/11]"
12a683,"[1/3, 1/3, 5/12]"
12a689,"[1/2, 1/3, 13/9]"
12a692,"[1/2, 1/3, 2/3, 4/3]"
12a693,"[1/2, 1/3, 2/5, 1/3]"
12a694,"[1/2, 1/3, 3/5, 1/3]"
12a719,"[1/3, 1/3, 13/5]"
12a725,"[2/3, 1/3, 10/3]"
12a730,"[2/3, 1/3, 10/7]"
12a735,"[2/3, 1/3, 6/5]"
12a737,"[1/3, 1/3, 13/8]"
12a739,"[1/3, 1/3, 11/8]"
12a742,"[1/3, 1/3, 7/12]"
12a748,"[1/3, 2/5, 4/7]"
12a749,"[1/3, 3/5, 3/7]"
12a750,"[2/3, 1/3, 1/3, 1/3]"
12a752,"[1/3, 2/5, 4/5]"
12a753,"[1/3, 3/5, 1/5]"
12a757,"[1/2, 1/3, 18/11]"
12a767,"[1/3, 1/3, 9/7]"
12a772,"[1/2, 1/3, 14/9]"
12a787,"[1/3, 1/3, 7/9]"
12a789,"[1/2, 1/3, 14/5]"
12a790,"[1/2, 1/3, 18/7]"
12a794,"[1/2, 1/3, 11/5]"
12a795,"[1/2, 1/3, 17/7]"
12a800,"[1/2, 1/3, 13/3]"
12a801,"[1/2, 1/3, 1/3, 4/3]"
12a822,"[1/2, 1/3, 9/13]"
12a823,"[1/2, 1/3, 11/15]"
12a826,"[1/2, 1/3, 4/13]"
12a827,"[1/2, 1/3, 4/15]"
12a835,"[1/2, 1/3, 6/7]"
12a836,"[1/2, 1/3, 10/13]"
12a837,"[1/2, 1/3, 10/17]"
12a838,"[1/2, 1/3, 1/7]"
12a839,"[1/2, 1/3, 3/13]"
12a840,"[1/2, 1/3, 7/17]"
12a842,"[1/2, 1/3, 6/11]"
12a843,"[1/2, 1/3, 5/11]"
12a876,"[1/2, 4/5, 4/5]"
12a877,"[1/2, 4/7, 4/5]"
12a878,"[1/2, 4/5, 1/5]"
12a879,"[1/2, 3/7, 4/5]"
12a880,"[1/2, 4/7, 4/7]"
12a881,"[1/2, 4/7, 1/5]"
12a882,"[1/2, 4/7, 3/7]"
12a937,"[1/2, 3/7, 1/5]"
12a938,"[1/2, 3/7, 3/7]"
12a1027,"[1/3, 1/4, 4/5]"
12a1028,"[1/3, 3/4, 4/5]"
12a1031,"[1/3, 1/4, 4/7]"
12a1032,"[1/3, 3/4, 4/7]"
12a1137,"[1/3, 1/3, 11/7]"
12a1142,"[1/3, 1/3, 5/9]"
12a1144,"[1/3, 1/3, 7/11]"
12a1147,"[1/3, 1/3, 11/4]"
12a1160,"[1/3, 1/3, 9/5]"
12a1164,"[1/3, 1/3, 9/4]"
12a1214,"[1/2, 1/5, 1/5]"
12a1233,"[1/3, 3/4, 1/5]"
12a1234,"[1/3, 3/4, 3/7]"
12a1242,"[1/3, 1/4, 1/5]"
12a1243,"[1/3, 1/4, 3/7]"
12a1283,"[1/3, 1/3, 5/6]"
12a1284,"[1/3, 1/3, 7/10]"
12a1285,"[1/3, 1/3, 3/10]"
12a1286,"[1/3, 1/3, 1/6]"
12n11,"[1/2, -3/5, 7/9]"
12n12,"[1/2, 3/5, -2/9]"
12n13,"[1/2, 3/5, -7/9]"
12n25,"[1/2, -3/5, 2/9]"
12n35,"[1/2, -3/5, 8/11]"
12n36,"[1/2, 3/5, -3/11]"
12n37,"[1/2, 3/5, -8/11]"
12n38,"[1/2, -3/5, 8/13]"
12n39,"[1/2, 3/5, -5/13]"
12n40,"[1/2, 3/5, -8/13]"
12n41,"[1/2, -3/5, 3/11]"
12n42,"[1/2, -3/5, 7/11]"
12n43,"[1/2, 3/5, -4/11]"
12n44,"[1/2, 3/5, -7/11]"
12n45,"[1/2, -3/5, 5/13]"
12n46,"[1/2, -3/5, 5/9]"
12n47,"[1/2, 3/5, -4/9]"
12n48,"[1/2, 3/5, -5/9]"
12n54,"[1/2, -3/5, 4/11]"
12n55,"[1/2, 2/3, 2/3, -3/5]"
12n56,"[1/2, 2/3, -2/3, -2/5]"
